,lastName,firstName,Site,Text,Rating,URL
0,Finley,Allysia,geneticliteracyproject,"Does a pandemic demand the strong medicine of censorship? Social-media companies seem to think so. They’re taking steps to control speech in the name of combating the spread of medical misinformation. Facebook employs “fact checkers” to review posts, makes those that don’t pass their test harder to find, and directs users to purportedly reliable sources like the World Health Organization. YouTube has taken down videos it deems inconsistent with science. Twitter plans to add warning labels to tweets that don’t pass muster with “subject-matter experts, such as public health authorities.”

Aaron Ginn’s story is a cautionary tale that even well-intended censorship can overreach, suppressing the search for truth. Mr. Ginn, 32, is the Silicon Valley technologist who posted an essay on March 20 titled “Evidence over hysteria—COVID-19” on the Medium website. Citing academic research and government data, Mr. Ginn argued that public-health experts were focusing too much on “flattening the curve . . . while ignoring the economic shock to our system” of shuttering businesses and schools and ordering Americans to stay home.

…

Mr. Ginn’s essay drew 2.6 million page views in 24 hours—and a barrage of liberal criticism. … Then Medium took it down… .

ADVERTISEMENT

[Editor’s note: Aaron Ginn’s essay can be found here. Ginn was the only Silicon Valley member of Mitt Romney’s 2012 presidential campaign. He cofounded the Lincoln Network to use technology to promote liberty in the public space.]

…

On one side, Mr. Ginn says, are ideologues heavily invested in the idea of lockdown, regardless of the cost. On the other are scientists with data that the lockdowns are overkill.

…

ADVERTISEMENT

ADVERTISEMENT

Mr. Ginn has been closely following Sweden, which has kept children under 16 in school and let most businesses stay open while restricting gatherings of more than 50 people. His daily briefings frequently cite Sweden’s state epidemiologist, Anders Tegnell, who has argued that government lockdowns lack a “scientific basis” and “people should be able to keep a reasonably normal life.” Dr. Tegnell recently estimated that 40% of Stockholm’s population would be immune to the virus by the end of May.

That could bring Sweden closer to “herd immunity” than countries that have sought to suppress spread altogether. “We need to ‘segment and shield,’ ” Mr. Ginn says, “and let the epidemic go through”: “The question is: How are you going to best protect those that are vulnerable in the larger population?”

…

Some belittle him as an “armchair epidemiologist.” He retorts that “facts and data are independent of your credentials.”

ADVERTISEMENT

ADVERTISEMENT

Read the original post",2,https://geneticliteracyproject.org/2020/05/20/social-media-sites-censoring-coronavirus-critics-who-claim-lockdown-strategy-lacks-a-scientific-basis-are-they-going-too-far/
1,Finley,Allysia,wsj,"Does a pandemic demand the strong medicine of censorship? Social-media companies seem to think so. They’re taking steps to control speech in the name of combating the spread of medical misinformation. Facebook employs “fact checkers” to review posts, makes those that don’t pass their test harder to find, and directs users to purportedly reliable sources like the World Health Organization. YouTube has taken down videos it deems inconsistent with science. Twitter plans to add warning labels to tweets that don’t pass muster with “subject-matter experts, such as public health authorities.”

Aaron Ginn’s story is a cautionary tale that even well-intended censorship can overreach, suppressing the search for truth. Mr. Ginn, 32, is the Silicon Valley technologist who posted an essay on March 20 titled “Evidence over hysteria—COVID-19” on the Medium website. Citing academic research and government data, Mr. Ginn argued that public-health experts were focusing too much on “flattening the curve . . . while ignoring the economic shock to our system” of shuttering businesses and schools and ordering Americans to stay home.

“When 13% of Americans believe they are currently infected with COVID-19 (mathematically impossible),” he wrote, “full-on panic is blocking our ability to think clearly and determine how to deploy our resources to stop this virus.” The message was well-timed—the day he posted it, Gov. Andrew Cuomo ordered “nonessential” New York businesses to close.

Mr. Ginn’s essay drew 2.6 million page views in 24 hours—and a barrage of liberal criticism. Carl T. Bergstrom, a University of Washington biologist, called it “Shakespeare run through google translate into Japanese, then translated back to English by someone who’d never heard of Shakespeare.” Then Medium took it down, saying it violated rules under a “risk analysis framework we use for ‘Controversial, Suspect and Extreme content.’ ”

Yet if Medium meant to stifle debate, its action backfired. Mr. Ginn has since become an informal organizer of a small battalion of well-credentialed dissenters. They include Michael Levitt (a Stanford biologist and the 2013 Nobel laureate in chemistry), John Ioannidis and Jay Bhattacharya (both Stanford professors of medicine), Joel Hay (a University of Southern California professor of pharmacy and health economics) and Neeraj Sood (a USC health economist). They and other researchers have been advising state and local governments on easing their lockdowns. On Thursday Dr. Bhattacharya and Messrs. Hay and Sood fielded questions from the Arizona Legislature about how to reopen the state’s economy.",2,https://www.wsj.com/articles/the-lockdown-skeptic-they-couldnt-silence-11589566245
2,Finley,Allysia,wsj,"Tustin, Calif.

They had fun, fun, fun, ’til their governor took their beaches away. Local officials in Orange County last weekend opened beaches amid a heat wave, drawing inland residents from Los Angeles, Riverside and San Bernardino Counties. But Gov. Gavin Newsom on Thursday overruled the county, claiming that surfers and sun worshipers weren’t respecting social-distance rules.

Local officials protested. “Despite what’s being reported, the majority of our beachgoers are complying [with] social distancing,” Huntington Beach police tweeted. San Clemente limited visitors to walking, running, swimming and surfing. “The overwhelming majority of Newport Beach residents and visitors were families or practicing social distancing,” the city’s police and fire chiefs stated. Aerial images showed the beach was far less crowded than it looked in news photos taken with a zoom lens.

The traditionally Republican county’s elected officials have denounced the governor’s heavy hand. “We have here an opportunity to embrace personal responsibility while also taking care of our neighbors,” Supervisor Michelle Park Steel said. “Governor Newsom clearly doesn’t share that faith.”

This isn’t only a fight between county conservatives and Sacramento liberals. It’s also an example of how progressives hurt the low-income people they claim to help. Mr. Newsom says he doesn’t want people coming to the coast and spreading the virus, which has hit inland counties harder. Riverside County has three times as many fatalities per capita as Orange.",2,https://www.wsj.com/articles/the-road-to-surfdom-11588352615
3,Finley,Allysia,realclearscience,"Defenders of coronavirus lockdown mandates keep talking about science. “We are going to do the right thing, not judge by politics, not judge by protests, but by science,” California's Gov. Gavin Newsom said this week. Michigan Gov. Gretchen Whitmer defended an order that, among other things, banned the sale of paint and vegetable seeds but not liquor or lottery tickets.",2,https://www.realclearscience.com/2020/04/25/the_bearer_of_good_coronavirus_news_290389.html
4,Finley,Allysia,wsj,"Defenders of coronavirus lockdown mandates keep talking about science. “We are going to do the right thing, not judge by politics, not judge by protests, but by science,” California’s Gov. Gavin Newsom said this week. Michigan Gov. Gretchen Whitmer defended an order that, among other things, banned the sale of paint and vegetable seeds but not liquor or lottery tickets. “Each action has been informed by the best science and epidemiology counsel there is,” she wrote in an op-ed.

But scientists are almost never unanimous, and many appeals to “science” are transparently political or ideological. Consider the story of John Ioannidis, a professor at Stanford’s School of Medicine. His expertise is wide-ranging—he juggles appointments in statistics, biomedical data, prevention research and health research and policy. Google Scholar ranks him among the world’s 100 most-cited scientists. He has published more than 1,000 papers, many of them meta-analyses—reviews of other studies. Yet he’s now found himself pilloried because he dissents from the theories behind the lockdowns—because he’s looked at the data and found good news.

In a March article for Stat News, Dr. Ioannidis argued that Covid-19 is far less deadly than modelers were assuming. He considered the experience of the Diamond Princess cruise ship, which was quarantined Feb. 4 in Japan. Nine of 700 infected passengers and crew died. Based on the demographics of the ship’s population, Dr. Ioannidis estimated that the U.S. fatality rate could be as low as 0.025% to 0.625% and put the upper bound at 0.05% to 1%—comparable to that of seasonal flu.

“If that is the true rate,” he wrote, “locking down the world with potentially tremendous social and financial consequences may be totally irrational. It’s like an elephant being attacked by a house cat. Frustrated and trying to avoid the cat, the elephant accidentally jumps off a cliff and dies.”

Dr. Ioannidis, 54, likes metaphors. A New York native who grew up in Athens, he also teaches comparative literature and has published seven literary works—poetry and fiction, the latest being an epistolary novel—in Greek. In his spare time, he likes to fence, swim, hike and play basketball.",2,https://www.wsj.com/articles/the-bearer-of-good-coronavirus-news-11587746176
5,Finley,Allysia,wsj,"Democrats started down the road to socialism, then took an abrupt U-turn in South Carolina and have been speeding away ever since. One reason is that young voters haven’t shown up for Bernie Sanders in the numbers he’d hoped.

True, Mr. Sanders won 74% of those under 30 in last week’s Michigan primary, according to exit polls. But that was down from 81% in 2016. Their share of the electorate also declined, to 15% from 19%. Voters over 45 made up 63% of the Michigan electorate this year, compared with 55% in 2016. They overwhelmingly favored Joe Biden.

Other states show similar patterns. Under-30 voters still heavily favor Mr. Sanders, but his support in this age group fell by 36 percentage points in New Hampshire, 17 in Nevada, 14 points in Massachusetts and Virginia, and 15 in North Carolina. These states all voted before the field narrowed to Messrs. Sanders and Biden, but that wasn’t enough for Mr. Sanders to carry Michigan, as he did in 2016.

Exit polls show voters under 30 made up a smaller share of the Democratic electorate this year than in 2016 in New Hampshire (6 percentage points), South Carolina (4), Alabama (4) North Carolina (4), Tennessee (4), Texas (5), and Virginia (3). Voters over 65 increased their share by 8 points in New Hampshire, 10 in South Carolina, and 7 in Massachusetts, North Carolina and Tennessee.

Young Democrats also appear to be aging out of their enthusiasm for Mr. Sanders as they mature and start making money. Wages for young workers are rising faster than for any other age group, which may have diminished the salience of his populist economic message. Mr. Sanders’s support this year among millennials in their 30s has been considerably lower than among those in their 20s. In Michigan, he won 53% of voters 30 to 39 compared with 74% of those under 30. In Iowa, 86% of voters under 25 in Iowa supported Mr. Sanders in 2016. This year only 55% of those 25 to 29 did.",2,https://www.wsj.com/articles/young-voters-outgrow-bernie-sanders-11584398337
6,Finley,Allysia,wsj,"Pete Buttigieg seeks to become the first Democrat since 1924 to win the presidential nomination without serving as governor or U.S. senator. He’s pitching his experience as a small-city mayor as just what the country needs: “We have to start getting Washington to look like our best-run cities and towns, instead of the other way around,” he said last weekend in New Hampshire. The argument was enough to carry Mr. Buttigieg, 38, to a close second-place finish in Tuesday’s primary.

Mr. Buttigieg can point to some successes in South Bend, Ind. But his eight years of leadership, which ended last month, left the city of 101,860 neither one of America’s best-run cities nor a model of political comity. He came into South Bend like he has the presidential campaign, striking gauzy, aspirational themes. He rode the national recovery to modest economic gains but ran into trouble on the hard urban problems of crime and racial politics.

He took over a city that had long been in decline. South Bend’s population peaked at 132,445 in 1960, more than two decades before his birth. In 2011, the year he was elected, Newsweek listed South Bend as one of America’s top 10 “dying cities”—a onetime manufacturing hub that had never recovered from the shuttering of the Studebaker auto plant in 1963. “What is particularly troubling for this small city is that the number of young people declined by 2.5% during the previous decade, casting further doubt on whether this city will ever be able to recover,” Newsweek wrote.

City Hall was about to undergo a generational change. Mayor Steve Luecke was stepping down at 61 after 15 years in office. Mr. Buttigieg, then 29, jumped into the ring. “I think the fact that I’m young is precisely why I can move the ball forward and break some old habits,” he said. “The fact that I’m not currently an elected official, I think, helps me.”

“As the youngest of the candidates, 29-year-old Buttigieg exudes energy and enthusiasm,” the South Bend Tribune wrote in an editorial endorsing his candidacy. Although he was the least-known of the Democratic primary candidates, he raised the most money—enough that one opponent accused him of “trying to buy an election.”",2,https://www.wsj.com/articles/south-bends-beta-test-for-mayor-pete-11581718733
7,Finley,Allysia,wsj,"Last night Democratic party rising stars Cory Booker and Julian Castro spoke at a forum hosted by the New York Society for Ethical Culture and Stanford alumni on topics ranging from their experiences as Stanford undergrads in the early 1990s to their political ambitions. Mr. Castro may have been the Democratic convention's keynote speaker but Mr. Booker stole last night's show.

The seasoned and charismatic Newark, N.J., mayor commanded the stage not unlike New Jersey Gov. Chris Christie, exhibiting a self-deprecating humor and utilizing wit to deflect questions. How'd the former Cardinal tight-end get into Stanford? A 4.0 and 1600, er, ""4.0 yards per carry and 1600 receiving yards."" The best political advice he'd gotten came from Gotham Mayor Michael Bloomberg: ""Before you become mayor, become a billionaire.""

He sidestepped questions about his love life and the gubernatorial race—or as he put it, showed off his superb ""tap-dancing"" skills. Instead he gushed about Mr. Castro's wife and pledged to challenge Mr. Christie in 2013 if Mr. Castro would run for governor in Texas in 2014. But he wanted to ""be careful"" about encouraging too much speculation because ""Chris Christie is listening"" and ""he controls the state police.""

The Newark mayor also flogged his post-ideological bona fides, even as he heralded the opportunity to turn Texas into a blue state and made several swipes about Mitt Romney's 47% remark. Changing demographics and the growing Hispanic population are helping plant ""the seed for that state to go blue very, very soon,"" he said.

He dismissed conjecture that the White House had sent him to the dog house for having defended Mr. Romney against attacks on Bain Capital. However, he carefully toed the administration's line last night, describing Bain investment managers as being very good at creating profits but not necessarily jobs.",2,https://www.wsj.com/articles/SB10000872396390444180004578017901446095508
8,Finley,Allysia,wsj,"Pop star Taylor Swift raked in $266 million from her 2018 album tour and tops the Forbes list of highest-paid celebrities. So it’s ironic that progressives are hailing Ms. Swift, 29, as a martyr of capitalism. She complained that a music agent (and Democratic fundraiser) backed by a private-equity firm was refusing to let her play her own tunes Sunday at the American Music Awards, where she’ll be feted as Artist of the Decade.

“Unfortunately, @TaylorSwift13 is one of many whose work has been threatened by a private equity firm. They’re gobbling up more and more of our economy, costing jobs and crushing entire industries,” Elizabeth Warren tweeted. The Massachusetts senator needs to calm down.

At issue is a contractual dispute between Ms. Swift and Scooter Braun over the rights to her original recordings, known as masters. Mr. Braun this year bought Big Machine Records, the label that catapulted Ms. Swift’s career some 15 years ago, for a reported $300 million with the backing of the Carlyle private-equity firm.

When Ms. Swift signed with Big Machine, she also relinquished the rights to her recordings in return for an advance on record sales and promotional support.

That’s how most stars get started. The International Federation of the Phonographic Industry estimates that a major record company invests between $500,000 and $2 million in a newly signed artist between advances, recordings, video production, tour support and marketing. Artists earn royalties only after the label recoups its advances from record sales.",2,https://www.wsj.com/articles/liberal-teardrops-on-taylor-swifts-guitar-11574379813
9,Finley,Allysia,wsj,"Few observers view crimson-red Kentucky as a political bellwether. But next week’s gubernatorial election, pitting Republican Gov. Matt Bevin against Democratic Attorney General Andy Beshear, may answer a question on many minds: Can an unpopular GOP incumbent with a penchant for provocation win re-election amid a divided electorate?

Donald Trump won Kentucky by 30 points in 2016 with strong support from blue-collar workers and religious conservatives. Two years earlier Senate Majority Leader Mitch McConnell handily defeated Alison Lundergan Grimes, the Democratic secretary of state. Republicans hold five of the state’s six U.S. House seats; the exception is a district surrounding Louisville.

But Democrats do better at the state level. They controlled the state House from 1923 to 2016 and the governorship for 36 of the 40 years before Mr. Bevin’s election in 2015. Republicans now control both legislative chambers, but the attorney general and secretary of state are Democrats.

Kentucky isn’t likely to turn blue anytime soon, though it resembles Pennsylvania and Ohio with its shrinking Appalachian towns, economically diversifying industrial outposts, and metropolitan areas drawing young, college-educated voters. These shifting demographics help explain why Mr. Bevin’s re-election has turned into a dogfight.

The GOP governor’s roots are blue-collar, not bluegrass. He was raised in rural New Hampshire and attended Washington and Lee University in Virginia on an ROTC scholarship. After serving in the U.S. Army, he did a turn as a financial consultant and moved to Louisville to manage investments.",2,https://www.wsj.com/articles/kentucky-governors-race-tests-trumps-re-election-strategy-11572649034
